unique_id,ds,Chronos,Moirai,TimesFM-2.5
hotel_84,2023-07-28,0.9942946,0.93577844,0.9500263
hotel_91,2023-07-01,0.8926953,0.9071765,0.8784375
hotel_91,2023-07-02,0.81935775,0.9031187,0.7673451
hotel_91,2023-07-03,0.85165745,0.90670717,0.8878279
hotel_91,2023-07-04,0.9341925,0.9159506,0.9625913
hotel_91,2023-07-05,0.93554807,0.90965456,0.9557904
hotel_91,2023-07-06,0.90878075,0.8874897,0.90821326
hotel_91,2023-07-07,0.87995154,0.9251473,0.9074073
hotel_91,2023-07-08,0.8762665,0.9016936,0.88376987
hotel_91,2023-07-09,0.81351864,0.91480595,0.77053165
hotel_91,2023-07-10,0.86992234,0.91656506,0.88890374
hotel_91,2023-07-11,0.95392525,0.9312934,0.95667493
hotel_91,2023-07-12,0.94605386,0.9003125,0.94973433
hotel_91,2023-07-13,0.90130645,0.90004426,0.91312635
hotel_91,2023-07-14,0.8596017,0.91071,0.9082873
hotel_91,2023-07-15,0.8411225,0.8946499,0.88081527
hotel_91,2023-07-16,0.7686602,0.8517867,0.76893544
hotel_91,2023-07-17,0.8270479,0.9075193,0.8877648
hotel_91,2023-07-18,0.9390591,0.8821784,0.95842874
hotel_91,2023-07-19,0.9526917,0.9119476,0.95666814
hotel_91,2023-07-20,0.9190982,0.89345896,0.9129989
hotel_91,2023-07-21,0.88414264,0.9055105,0.9130583
hotel_91,2023-07-22,0.8781204,0.85785705,0.8941891
hotel_91,2023-07-23,0.8071514,0.88801074,0.7749152
hotel_91,2023-07-24,0.8604704,0.8914331,0.8887472
hotel_91,2023-07-25,0.9551703,0.91760254,0.9548532
hotel_91,2023-07-26,0.94846225,0.89227366,0.9472388
hotel_91,2023-07-27,0.8890442,0.87495375,0.90677524
hotel_91,2023-07-28,0.8425852,0.8860121,0.9046737
hotel_98,2023-07-01,0.49415585,0.43627763,0.4808106
