unique_id,ds,NBEATS,NHITS
hotel_42,2023-06-08,0.5876196,0.55083203
hotel_42,2023-06-09,0.6574561,0.68658906
hotel_42,2023-06-10,0.73426837,0.78832066
hotel_42,2023-06-11,0.3919912,0.4690461
hotel_42,2023-06-12,0.48716605,0.48164207
hotel_42,2023-06-13,0.5429262,0.63096035
hotel_42,2023-06-14,0.5622832,0.5983231
hotel_42,2023-06-15,0.5707649,0.5961096
hotel_42,2023-06-16,0.713367,0.73001206
hotel_42,2023-06-17,0.78701746,0.75895524
hotel_42,2023-06-18,0.3906874,0.46233898
hotel_42,2023-06-19,0.45552322,0.5187299
hotel_42,2023-06-20,0.5867641,0.6152364
hotel_42,2023-06-21,0.5566809,0.60755765
hotel_42,2023-06-22,0.5417794,0.57661784
hotel_42,2023-06-23,0.69877326,0.7350631
hotel_42,2023-06-24,0.7273733,0.7786447
hotel_42,2023-06-25,0.40477535,0.4790715
hotel_42,2023-06-26,0.4816964,0.5263232
hotel_42,2023-06-27,0.57732373,0.61401397
hotel_42,2023-06-28,0.56046844,0.61482567
hotel_42,2023-06-29,0.6231206,0.57896465
hotel_42,2023-06-30,0.7673227,0.7271366
hotel_42,2023-07-01,0.74245447,0.7332448
hotel_49,2023-06-04,0.6341608,0.643443
hotel_49,2023-06-05,0.63083285,0.6119931
hotel_49,2023-06-06,0.6340751,0.61015725
hotel_49,2023-06-07,0.61637294,0.6063459
hotel_49,2023-06-08,0.6427316,0.6182742
hotel_49,2023-06-09,0.68545663,0.6787432
hotel_49,2023-06-10,0.7254033,0.7013163
hotel_49,2023-06-11,0.61711407,0.60555553
hotel_49,2023-06-12,0.6039573,0.5791809
hotel_49,2023-06-13,0.62039524,0.60258865
hotel_49,2023-06-14,0.6137606,0.5943698
hotel_49,2023-06-15,0.63412994,0.61434597
hotel_49,2023-06-16,0.7129644,0.6862645
hotel_49,2023-06-17,0.72221035,0.70891213
hotel_49,2023-06-18,0.611874,0.5991187
hotel_49,2023-06-19,0.6055338,0.5834737
hotel_49,2023-06-20,0.6258405,0.60160124
hotel_49,2023-06-21,0.6251548,0.60558885
hotel_49,2023-06-22,0.6387916,0.6186334
hotel_49,2023-06-23,0.70059925,0.69899577
hotel_49,2023-06-24,0.7080479,0.714932
hotel_49,2023-06-25,0.6344637,0.6136482
hotel_49,2023-06-26,0.6188618,0.5959654
hotel_49,2023-06-27,0.6324774,0.6210828
hotel_49,2023-06-28,0.6341022,0.61227953
hotel_49,2023-06-29,0.667056,0.6306063
hotel_49,2023-06-30,0.7485594,0.69112855
hotel_49,2023-07-01,0.7449629,0.71787775
hotel_56,2023-06-04,0.86182827,0.89366853
hotel_56,2023-06-05,0.90641826,0.89961946
hotel_56,2023-06-06,0.93333495,0.94316643
hotel_56,2023-06-07,0.9147813,0.92255825
hotel_56,2023-06-08,0.8928639,0.90205383
hotel_56,2023-06-09,0.9536609,0.96993893
hotel_56,2023-06-10,0.96633196,0.97736675
hotel_56,2023-06-11,0.84261394,0.8664449
hotel_56,2023-06-12,0.8952696,0.8719203
hotel_56,2023-06-13,0.93004626,0.95408696
hotel_56,2023-06-14,0.9103584,0.9170887
hotel_56,2023-06-15,0.88809705,0.9016357
hotel_56,2023-06-16,0.9712999,0.97045755
hotel_56,2023-06-17,0.96835375,0.97790647
hotel_56,2023-06-18,0.8195444,0.8653801
hotel_56,2023-06-19,0.8949164,0.88369834
hotel_56,2023-06-20,0.93550295,0.9380127
hotel_56,2023-06-21,0.926015,0.9272486
hotel_56,2023-06-22,0.88517886,0.907143
hotel_56,2023-06-23,0.9532007,0.979851
hotel_56,2023-06-24,0.9592963,0.9782
hotel_56,2023-06-25,0.856158,0.8773042
hotel_56,2023-06-26,0.8925713,0.89881897
hotel_56,2023-06-27,0.9282667,0.9495304
hotel_56,2023-06-28,0.92250574,0.9201709
hotel_56,2023-06-29,0.8983499,0.9033695
hotel_56,2023-06-30,0.9798911,0.96469927
hotel_56,2023-07-01,0.97759354,0.97826034
hotel_63,2023-06-04,0.5038126,0.5550594
hotel_63,2023-06-05,0.5590933,0.5488677
hotel_63,2023-06-06,0.699783,0.6352517
hotel_63,2023-06-07,0.725631,0.6755922
hotel_63,2023-06-08,0.68137777,0.67647016
hotel_63,2023-06-09,0.81994003,0.8024012
hotel_63,2023-06-10,0.9023459,0.84626293
hotel_63,2023-06-11,0.5764972,0.5758645
hotel_63,2023-06-12,0.56368136,0.54285085
hotel_63,2023-06-13,0.6754623,0.6771046
hotel_63,2023-06-14,0.7804507,0.6843602
hotel_63,2023-06-15,0.70800245,0.7083564
hotel_63,2023-06-16,0.8170838,0.8286046
hotel_63,2023-06-17,0.8814667,0.83419216
hotel_63,2023-06-18,0.549588,0.56379867
hotel_63,2023-06-19,0.5666419,0.5693619
hotel_63,2023-06-20,0.696879,0.66776067
hotel_63,2023-06-21,0.75230634,0.68878657
